content,score,at
aplikasi dna kenapa sih jaringan bagus tapi mau buka aplikasi dna bilang jaringan anda terputus.gimana itu makin sini makin KA kacau ajh.,2,2026-06-28 04:44:38
"gimana ini saya kan habis top up dana 30k terus suruh verifikasi pake nomor telepon eh malah ilang terus yang ke dua, saya top up 50k terus harus verifikasi wajah eh malah ilang lagi, gimana ini woy tanggung jawab lah",2,2026-06-28 04:41:57
Mantap,5,2026-06-28 04:40:40
Diana hilang kan akun saya dan di ambil 100rb sama diana,1,2026-06-28 04:39:19
dana cicil sayangnya gak ada padahall dah lama pakek dana,5,2026-06-28 04:38:01
ini tolong dong di hp saya buka dana ga bisa buka full putih lngsung keluar dari aplikasi,4,2026-06-28 04:33:53
good.,5,2026-06-28 04:32:38
dana cicil dimmna,5,2026-06-28 04:29:55
APLIKASI GA JELAS NGERASA GA AMAN TRANSAKSI DI SINI,1,2026-06-28 04:29:02
mudah dipakai dan aman,5,2026-06-28 04:26:14
Sangat membantu sekali dgn transaksi lwt dana,5,2026-06-28 04:25:51
fitur dana cicil tidak ada,4,2026-06-28 04:20:16
luar biasa mudahnya,5,2026-06-28 04:16:55
"aplikasi bego, emas gw ilang di dana walaupun jumlahnya sedikit tetap saja merugikan",1,2026-06-28 04:16:39
bagus sekali,5,2026-06-28 04:13:01
"BERTAHUN-TAHUN PAKE APLIKASI INI, JELEKNYA. KENAPA SETIAP KALI MINTA DI UPGRADE, LALU SEMUA TRANSAKSI JADI TERHAMBAT. HUBUNGI KE DIANA PESAN OTOMATIS TIDAK SESUAI HANYA MENGULANG KALIMAT, DISURUH CUSTOMER CARE, MALAH RIBET KARENA OTOMATIS PERTANYAAN DAN JAWABAN... TOLONG DONG",1,2026-06-28 04:12:51
kenapa dana cicil saya tidak bisa di gunakan,5,2026-06-28 04:10:28
sangat mantapp dan sangat membantu sekali apk ini,5,2026-06-28 04:10:01
👍👍👍👍,5,2026-06-28 04:09:41
dana menari bisa tarik uang di tik tok,1,2026-06-28 04:07:06
aplikasi ngelag,1,2026-06-28 04:06:29
jangan di potong kalau di dalam ada uang,5,2026-06-28 04:04:28
bagus,5,2026-06-28 04:04:10
dana cicil saya tidak pernah ada,5,2026-06-28 04:03:15
istimewa sangat membantu,5,2026-06-28 04:01:46
kenapa ya dana saya tidak ada dana cicil atw plyaleter,5,2026-06-28 04:01:13
sangat baik,5,2026-06-28 03:58:36
Sangat berguna,5,2026-06-28 03:56:45
fitur dana cicilnya blum ada muncul,5,2026-06-28 03:50:28
sangat membantu,5,2026-06-28 03:49:53
slalu lancar,5,2026-06-28 03:49:50
mantap,5,2026-06-28 03:49:21
"udah ku patah patahin nomor dana nya, apa notifikasi nya GK ngotak, risih betul. lagian apa juga Untung nya??? pake rekening Bank jauh lebih aman",1,2026-06-28 03:48:59
saee pisan,5,2026-06-28 03:48:38
menu dana cicil nya kok gak ada ya,4,2026-06-28 03:45:46
sangat cepat dan bermanfaat.,5,2026-06-28 03:45:18
ada dana cicil tapi tidak dengan kendala tersedia.. aneh,1,2026-06-28 03:44:35
"pake aplikasi dana sangat mbantu saya mudah dan praktis ,terima kasih dana",5,2026-06-28 03:42:44
"aplikasi dana, mudah dan lancar",5,2026-06-28 03:40:01
baik,5,2026-06-28 03:38:54
"sampai sekarang dana bisnis GK bisa ditarik, disuruh verifikasi wajah malah eror Mulu, udah chat cs nya tetep aja solusinya malah dibikin ribet, enggak enggak lagi pakai apk dana 👎",1,2026-06-28 03:35:55
dana kesedot Mulu tlll,1,2026-06-28 03:32:43
semoga makin sukses,5,2026-06-28 03:27:50
dana cicil saya tidak bisa di gunakan,5,2026-06-28 03:27:43
bagus,5,2026-06-28 03:27:24
mantap sayang sekali dana cicil tidak bisa di gunakan,5,2026-06-28 03:25:41
"saya kurang percaya dengan aplikasi dana , dikarenakan tiba2 saldo dana saya terkuras habis.",1,2026-06-28 03:25:09
Oke,5,2026-06-28 03:23:29
"tadinya saya suka,,tp semenjak saldo 2x hilang jadi waswas",2,2026-06-28 03:17:52
sangat bagus bisa kirim paki wa,5,2026-06-28 03:12:52
"ngambil foto dari galeri tidak bisa padahal mau ngisi kuota tiba"" aplikasi dana seperti itu",1,2026-06-28 03:11:47
dana sekarang gak jelas dacil saya tidak bisa di pake sudah 5 bulan padahal ada limitnya 150rb makin kesini makin gak jls dana.,2,2026-06-28 03:08:36
sekarang top up berapa pun pajak 2k sampai 1k 500 perak,3,2026-06-28 03:08:24
Mau masuk ke apk dana sering keluar sendiri,1,2026-06-28 03:07:44
Dana cicil saya kenapa tidak bisa digunakan,5,2026-06-28 03:07:44
knapa di Apk sya tidak muncul fitur Dana Instannya??,5,2026-06-28 03:06:32
ok banget,5,2026-06-28 03:02:12
dana cicil sedang tidak tersedia,5,2026-06-28 03:01:21
sangat membantu,5,2026-06-28 03:00:47
"aktifin lagi dana cicil ya dong min. dana cicil belum aktif atau belum bisa di pakai limit ya, udah 2 bulan ga bisa di pakai limitnya",5,2026-06-28 03:00:41
ok,5,2026-06-28 02:57:19
cs dana cicil saya tidak bisa dipakai,5,2026-06-28 02:56:46
"kurangi bintang nya dulu ya,soal nya sampai skrg fitur dana cicil gak muncul2 di akun saya",3,2026-06-28 02:56:38
baru coba,3,2026-06-28 02:44:42
mempermudah segala urusan,5,2026-06-28 02:37:31
sangat tidak sulit,5,2026-06-28 02:36:56
baik,5,2026-06-28 02:36:16
kenapa dana cicilku tidak tersedia,5,2026-06-28 02:34:15
mudah dan aman.. terimakasih,5,2026-06-28 02:34:07
memudahkan saya dalam pembayaran,5,2026-06-28 02:32:17
kreren dan mudah utuk kebutuhan sehari hari,5,2026-06-28 02:31:46
ok,5,2026-06-28 02:26:40
Buruk login gagal trus,1,2026-06-28 02:25:49
sangat sangat memuaskan dan membantu.,5,2026-06-28 02:23:17
bagus,5,2026-06-28 02:22:20
respon tim castem care terlalu buruk,1,2026-06-28 02:19:01
bagus sekali,5,2026-06-28 02:18:59
kenzpa ga bisa di limpahkan ganti hp.padahal nomer sim tetap.tolo g dong solusinya,5,2026-06-28 02:18:08
gak bisa pakek dana cicil,2,2026-06-28 02:15:15
"ngawur,dana cicil kalo udah di lunasin mau di pake lagi gak bisa,",1,2026-06-28 02:12:10
sangat baik,5,2026-06-28 02:11:44
sangat membantu,5,2026-06-28 02:11:41
sangat bagus,5,2026-06-28 02:10:25
bagus sangat membantu,5,2026-06-28 02:08:05
mantap ewallet.cuman di apk dan nga ada dana cicil.gmna sih,5,2026-06-28 02:02:36
sangat bagus,5,2026-06-28 02:01:20
mudah di gunakan sebagai transaksi atau simpan uang aman,5,2026-06-28 01:54:15
"PAYAH , SAYA TIDAK TELAT BAYAR CICILAN KENAPA TIDAK BISA DI GUNAKAN KEMBALI SUDAH MELUNASI TUNGGAKAN",3,2026-06-28 01:49:37
good,5,2026-06-28 01:47:42
"Mohon bantuannya saya sudah ngirim uang ke warung ,tpi warung tidak menerima notifikasi terima uang dana saldo tetep sama ini kendala di apanyaa ka",4,2026-06-28 01:45:29
m An tap,5,2026-06-28 01:44:57
sangat bagus,5,2026-06-28 01:36:42
"padahal sy sudah hapus aplikasi tinder dan tidak berlangganan lagi tetap aja di potong, ajukan refund pun tidak bisa tetap saja padahal tidak ada tulisan langganan tinder di aplikasi dana sama sekali cuman masih saja terpotong tulisan ""tinder dating"" mau ajukan refund tidak bisa",1,2026-06-28 01:35:58
luar biasa membantu dan semua fasilitas terjaga dengan baik❤️🙏,5,2026-06-28 01:23:32
"duit tiba tiba ilang,gatau transaksi apa emang anj apk ini",1,2026-06-28 01:22:44
sangat membantu,5,2026-06-28 01:20:17
aplikasi ini bisa beli pulsa dan data internet darurat Bos.data internet habis di jalan cukup buka aplikasi DANA dan beli ajah mudah kan.😎😉🚋🚌🚉,5,2026-06-28 01:14:57
meskipun tidak ada dana cicilnya kaya orng lain,5,2026-06-28 01:11:53
mantap,5,2026-06-28 01:09:37
sangat puas,5,2026-06-28 01:06:54
duit ku ilang gak banget,1,2026-06-28 01:04:47
jadi mudah mengisi saldo Maxim dan mentransfer uang ke anak istri maupun teman,5,2026-06-28 00:54:30
bagus,5,2026-06-28 00:50:49
Mantap,5,2026-06-28 00:50:44
trf cepat dan transaksi lancar,5,2026-06-28 00:47:49
"A+Reward gak jelas, setiap ambil reward yang terakhir selalu kembali ke awal dan sebagian transaksi TF atau WD ada biaya",5,2026-06-28 00:37:10
"sangat"" membantu. klk bisa lebih banyak hadiah😊👍",5,2026-06-28 00:37:03
the best APLIKASI 👍👍👍,5,2026-06-28 00:35:42
"UDAH SERING UANG HILANG SALAH KIRIM 😌 KADANG DIA AMBIL PENIPU, YG JELAS APK NYA GA AMAN BUAT KALIAN NYIMPEN UANG, SOALNYA GUA UDAH BEBERAPAKALI UANG NYIMPEN DI DANA HILANG, SUDAH KONFIRMASI KE CS CUMAN BOT YANG JAWAB 😂",1,2026-06-28 00:34:40
bagus simpel tanpa ribet,5,2026-06-28 00:34:16
kenapa punya saya tidak ada dana cicil nyaa,1,2026-06-28 00:26:42
kenapa dana cicil saya belum keluar ya,5,2026-06-28 00:21:37
🥰🥰,4,2026-06-28 00:16:35
tambah ribet,1,2026-06-28 00:16:33
bagus sekali,5,2026-06-28 00:16:05
DANA INSTAN TIDAK BISA DI CAIRKAN PERCUMA,1,2026-06-28 00:07:57
"kenapa setiapkali mau check-in di A+reward selalu disuruh verifikasi ulang dan hubungi pusat bantuan? sudah diulang², tetap aja spt itu... tolong dibenerin bug nya ya",3,2026-06-28 00:04:56
sip Berman paat,5,2026-06-28 00:03:52
bagus,5,2026-06-28 00:00:10
sangat suka,5,2026-06-27 23:57:53
aplikasi nya masa saya baru ini transfer dana sema dana ko gk masuk padahal seblom nya gk begini jadi saldo nya gk mauk,1,2026-06-27 23:50:50
bagus,5,2026-06-27 23:37:33
dana cicil saya tidak bisa digunakan padahal ada limitnya gimana solusi nya ya,4,2026-06-27 23:35:45
mantap expres respon,5,2026-06-27 23:33:41
sangat baik,4,2026-06-27 23:29:16
nice app,5,2026-06-27 23:25:46
banyak gangguan ini itu,1,2026-06-27 23:23:45
Di permudah,4,2026-06-27 23:09:16
"Tolong aktifkan dana cicil di aplikasi saya,",5,2026-06-27 23:08:38
like,5,2026-06-27 23:01:54
sangat membantu,5,2026-06-27 22:52:56
saldo saya di hack orang dan pihak dana ga mau tanggung jawab malah di suruh lapor polisi,1,2026-06-27 22:50:43
sangat baik,5,2026-06-27 22:47:49
sangat baik,5,2026-06-27 22:41:25
sangat bagus,5,2026-06-27 22:39:41
mantap,5,2026-06-27 22:38:55
Bagus aplikasi ini,5,2026-06-27 22:36:52
emang terbaik,5,2026-06-27 22:21:01
sangat bermanfaat,5,2026-06-27 22:16:18
sangat membantu,5,2026-06-27 22:14:25
kenapa dana cicil say tidak dapat digunakan,5,2026-06-27 22:13:38
good,5,2026-06-27 22:11:35
sangat membantu,5,2026-06-27 22:11:02
perfeckt,4,2026-06-27 22:08:16
simpel dan cepat,5,2026-06-27 22:08:12
sangat puas,5,2026-06-27 22:07:44
sangat membantu,4,2026-06-27 21:54:41
dana memang good... semua mudah Bertransaksi,5,2026-06-27 21:54:25
baguss,5,2026-06-27 21:51:27
"udah di balikin makasii danaa, saran aja lain kali kalo mau bayar sesuatu pastiin verifikasi dulu, tapi udah baguss aplikasi nya dlu ayah ku juga pernah salah kirim gara² salah satu nomor abis di laporin bisa balikin lagi hari itu jugaa thankksss nilai tambah lagi respon nya cepatt",5,2026-06-27 21:44:11
"sangat mengecewakan ,analisanya tidak objektif ,,sudah 4 tahun ,transaksi sangat banyak ,baik dana bisnis dan dana personal,,tidak pernah sekalipun ditawarkan dana cicil...payah",1,2026-06-27 21:40:56
untuk saat ini masih bagus,5,2026-06-27 21:38:38
bagus,5,2026-06-27 21:31:01
baguus,5,2026-06-27 21:27:02
limit dana cicil masih ada tetapi tidak bisa di gunakan,5,2026-06-27 21:24:01
sangat membantu,5,2026-06-27 21:20:46
bekerja dengan baik,5,2026-06-27 21:11:25
Kenapa saya tidak bisa download aplikasi dana di hp yang berbeda,5,2026-06-27 21:05:53
apk bagus + keren😎 tapi saya minta tolong dana cicil saya aktif kan dong kak🥺🥺,5,2026-06-27 21:03:07
mengapa duit saya selalu di sedot sama aplikasi lain???????????????,1,2026-06-27 21:02:45
tidak bisa mengakses Dana cicil,4,2026-06-27 21:00:19
"sering banget transaksi pake dana, tapi kenapa ya dana instan nya belum muncul juga, dan juga limit payleter nya gak naik-naik",5,2026-06-27 20:58:06
bagus banget,5,2026-06-27 20:57:19
"simpel dan praktis. tapi makin kesini makin keliatan dasar atau dark side nya, setiap isi saldo itu pasti kepotong 500 rupiah. emang kecil tapi untuk yang isi pas buat beli pulsa atau kouta itu bakal repot bgt, dan tau ga alasan org org gamau nyimpen duit banyak disini? yap karna sering lenyap tanpa kabar, ada yang langganan yang di perpanjang tanpa pemberitahuan, dan ribuan potongan. kalo dari jutaan nasabah kalian selalu gitu untuk banyak kalian, kami yang rugi. mending ke apk bank langsung",2,2026-06-27 20:55:23
mantappp,5,2026-06-27 20:47:40
sippp,5,2026-06-27 20:47:24
dana cicil ga muncul muncul,1,2026-06-27 20:44:50
bagus sekali,5,2026-06-27 20:41:52
hadehh. ada errornya,1,2026-06-27 20:40:22
aplikasi terbaik dan tercepat,5,2026-06-27 20:35:24
selalu cepat,5,2026-06-27 20:32:07
akunmu sedang di proteksi,1,2026-06-27 20:29:12
akunmu sedang diproteksi,1,2026-06-27 20:27:34
dana cicil saya sudah tidak bisa di gunakan. padahal saya bayar lunas walaupun agak sedikit telat. tapi tidak pernah tidak bayar. pas mau di pake lagi eh gabisa,5,2026-06-27 20:25:38
akunmu sedang di proteksi trus ga bisa login,1,2026-06-27 20:24:57
tolong fitur dana cicil saya kok gak ada,5,2026-06-27 20:23:59
"Bulan ini saya tidak bisa memakai dana cicil,padahal saya tidak pernah telat untuk membayar dana cicil nya",1,2026-06-27 20:22:55
saya sudah lama pakai aplikasi ini sangat puas,5,2026-06-27 20:19:49
kenapa tidak ada Dana Cicil,5,2026-06-27 20:17:57
oke,5,2026-06-27 20:16:55
pelayanan nya bagus tapi sayang gak bisa guna kan dana cicil,5,2026-06-27 20:09:07
sangat memuaskan,5,2026-06-27 20:08:52
"masih aja gabisa pake dana cicil padahal gaada cicilan limit dana cicil nya aja ada 400ribu tapi tetep aja gabisa dipake , dana cicil tidak tersedia terus lapor ke cs juga gaada penyelesaiannya tau gtu ngapain ngadain dana cicil kalo gabisa dipake tolol",1,2026-06-27 20:08:19
dana cicil dan instan utuh tetapi tidak bisa dipakai dan dana instan nya limit full dan sudah pernah dipakai saat dilunasi semua tiba2 penarikan dana instan gagal aneh banget udah berbulan2 begini terus tidak ada pencerahan,5,2026-06-27 20:08:05
semoga fitur dana cicil saya segera di aktif kan dari pihak aplikasi dana.soal nya sudah bertahun tahun pakai fitur dana cicil saya blm muncul.sedangkan temen saya yg baru pakai dana sudah muncul fitur dana cicil nya,5,2026-06-27 20:03:50
Kenapa fitur dana cicil saya tidak berlaku lagi? Padahal saya sudah melunasi semua tagihan.,4,2026-06-27 19:56:40
semoga dana cicil nya ada di fitur aku dana sya nanti😀,5,2026-06-27 19:54:08
bagus dah pokoknya,5,2026-06-27 19:51:44
mantap jiwa,5,2026-06-27 19:51:33
saya sudah 2 kali ada kendala pembelian kuota tidak masuk tpi responnya sama aja,1,2026-06-27 19:50:34
"gajelas, dana cicil dibayar terus limit ga naik 100k terus LOL, limit ga bisa dipakai semua, pembayaran otomatis potong, QRis ada fee nya, buruk, dibayar tepat waktu pun tetap limit tidak naik tetap 100k LOL",1,2026-06-27 19:43:48
Apk bagus sangat berguna,5,2026-06-27 19:40:07
"saya kecewa,limit dana cicil saya tidak bisa di gunakan/tidak tersedia sedangkan sebelumnya tersedia dan bisa di gunakan,tapi sekarang tidak bisa,limit ada tapi tidak bisa di gunakan limit dana cicil ada,dan tidak ada tunggakan,semuanya sudah lunas,tapi kenapa tidak bisa di gunakan",2,2026-06-27 19:36:57
"gajelas, tagihan dh di bayar lunas sebelum JAPO. mau pakai dana cicil lagi masa kaga tersedia terus.",1,2026-06-27 19:36:20
aplikasi sampah ada limit dana cicil tapi ga bisa di gunakan buat apa ngasih limit klo ga berguna,1,2026-06-27 19:35:36
bgs aj,5,2026-06-27 19:31:47
Ini Aplikasi Paling BOBROK Sepanjang Sejarah. Saldo Sering Ilang Tanpa Transaksi.CS Nya Pun Ga Bisa Ngasih Solusi.Pokoknya Buat Pengguna Baru Pikir2 Lagi Deh Kalo Mau Pake Aplikasi Ini.,1,2026-06-27 19:30:25
👍👍,5,2026-06-27 19:27:57
masa akun gw gada dana cicilnya,1,2026-06-27 19:11:56
pelayanan sangat baik,5,2026-06-27 19:11:22
ok,5,2026-06-27 19:05:33
cs nya bego gak ketolong bikin kesal aja kalo lagi ada pertanyaan,1,2026-06-27 19:01:22
ok,5,2026-06-27 18:57:40
dana ajing uang gua hilang mulu dh apk babi,1,2026-06-27 18:56:54
"bagus, tapi tolong muncul kan fitur dana cicil di akun saya",5,2026-06-27 18:56:29
👍👍,5,2026-06-27 18:54:25
ngga bisa masuk apk gara² ganti hp+akun harus di verifikasi,1,2026-06-27 18:52:07
terbaik,5,2026-06-27 18:50:14
saldo saya ilang di dana 337k ngga di refund refund,1,2026-06-27 18:46:17
oke,5,2026-06-27 18:44:16
sangat membantu,5,2026-06-27 18:41:31
lebih diperbaiki lagi masalah dana cicil yang tidak bisa digunakan itu bos,5,2026-06-27 18:35:26
mntap,5,2026-06-27 18:33:26
kenapa dana cicil saya tidak tersedia,4,2026-06-27 18:33:06
"Aplikasinya berat, loadingnya lelet banget kayak siput berjalan. dana cicil pun gak dikasih, padahal data pengeluarannya tinggi,sering disuruh update malahan dihapus dan didownload ulang juga gak ada dana cicilnya. bonus persen selama bertahun-tahun gak ada.",2,2026-06-27 18:30:14
aplikasi ini bagus dan aman,5,2026-06-27 18:29:51
mantab,5,2026-06-27 18:27:09
sip dan cepat,5,2026-06-27 18:26:17
"ada uang mencurigakan, aku mau tau itu uang dari mana tapi ga bisa dapat info apa apa. bisa jadi uang digitalku atau uang kesasar. yasudahlah biarin aja, risih juga kalau pake tapi ada uang antahbaranta",1,2026-06-27 18:26:13
kanapa yg dna cicil sya tidak bisa digunakan,1,2026-06-27 18:23:59
login simpel menggunakan verikasi akun gmail,5,2026-06-27 18:21:40
bagus dana cicil nya selalu bisa di pake,5,2026-06-27 18:16:13
mudah dan praktis,5,2026-06-27 18:15:33
"parah ini dana srang ,payleterny udah ga bisa di pake lagi,padah udah bayar tepat waktuu,,,,kecewa saya.maaf bintangnya ak turunin",1,2026-06-27 18:12:13
okay,1,2026-06-27 18:10:14
samngat bermanfaan dan membantu banget dalam transaksi jadi lebih mudah dan gampang..GOOD JOB,5,2026-06-27 18:05:49
plis aktifkan dana cicilku.,5,2026-06-27 18:05:01
sangat bagus buat bertransaksi,5,2026-06-27 18:01:27
mantab,5,2026-06-27 17:58:07
kenapa dana cicil tidak berlaku,1,2026-06-27 17:56:47
mantap,5,2026-06-27 17:55:21
hatur nuhun,5,2026-06-27 17:53:45
nice,5,2026-06-27 17:47:04
mengapa saya tidak bisa mengirim uang kepada orang?,5,2026-06-27 17:45:37
sangat ok,5,2026-06-27 17:42:06
bagus,5,2026-06-27 17:42:04
"Saya kecewa dengan aplikasi ini, nomor hp sudah tidak aktif lagi dan saya ganti HP. Mulai masuk aplikasi klik nomor sudah tidak aktif lagi, masuk kan PIN dan verifikasi wajah. Dan selanjutnya di kirim SMS kode verifikasi ke nomor HP lama. Kan nomor ny sudah tidak aktif lagi gimana mau liat kode verifikasi nya. Dan juga tidak ada pilihan lain untuk mengirim kode verifikasi. Jadi nya saya ga bisa masuk ke akun saya. Mohon solusi nya gimana supaya bisa masuk ke akun saya lagi.",1,2026-06-27 17:39:49
isi pulsa GK masuk dan GK ada pengembalian uang,3,2026-06-27 17:37:04
kenapa dana cicil saya tidak bisa digunakan... padahal saya baru sekali pakai dan itupun tidak lama langsung saya lunasi..kalau memang tidak bisa tolong di hapus saja dana cicil di apk saya..itupun tdk banyak hanya 150.000. saya sdh lebih ratusan kali bertransaksi dgn dana..,4,2026-06-27 17:35:31
sejak ada dana mau transaksi apapun jadi mudah ...dana is the best,5,2026-06-27 17:35:08
"loginnya susah harus pake otp nomor HP, padahal nomor HP udah ga aktif lagi",1,2026-06-27 17:34:02
akun dana saya tidak ada fitur dana cicil.bantu muncul kan fitur dana cicil,1,2026-06-27 17:32:08
bagus.waluoun dan cicilan sy ga bisa lg,5,2026-06-27 17:27:31
dana cicil sudah bayar lunas malah gak bisa di pake,1,2026-06-27 17:26:51
jos,5,2026-06-27 17:25:26
sangat baik,5,2026-06-27 17:22:48
ok,4,2026-06-27 17:21:54
"oy dana nomor gw hilang, mo ganti nomor kok malah minta kode otp ke no yg hilang sihh, tolong di benahi dong mau kepake nih dana nya",1,2026-06-27 17:19:14
kenapa dana cicil ku tidak bisa di pake padahal udah biasa pake,5,2026-06-27 17:18:29
"uang saya hangus,bacaanya pembayaran sukses tapi masih blm dibayar diaplikasi kai,uang tidak biaa ditarik lagi,aplikasi jelek,awas uang kalian tiba tiba hilang,sudah tanya asisten tapi ga jelas banget jawabanyaa,aplikasi tidak rekomen untuk menabung!!",1,2026-06-27 17:18:24
aplikasi membantu cuman sekarang dana cicil tidak bisa digunakan padahal ada limitnya mohon untuk memperbaiki,5,2026-06-27 17:16:54
aplikasi ini tidak menjasi tempat menykmpan uang dg aman. saat aplikasi kita dipakai orang lain dan kita komplain. justru aplikasi ini gak bisa sibuka. dan sisa dana malah ikut hilang. kebijakannya kurang bertanggung jawab,1,2026-06-27 17:16:46
sangat membantu,5,2026-06-27 17:15:11
fitur dana cicil,5,2026-06-27 17:13:44
aplikasi nya bagus bgt,5,2026-06-27 17:13:18
saya suka,5,2026-06-27 17:08:41
"pelayanan tidak bagus,saldo saya tiba2 ilang aja tidak ada respon nya",1,2026-06-27 17:05:18
wow,5,2026-06-27 17:02:14
good,5,2026-06-27 17:02:12
Aplikasi ini sangat membantu saya saya bener2 suka banget sama aplikasi dana ini,5,2026-06-27 17:00:21
aplikasi yang memudahkan semua transaksi,5,2026-06-27 16:54:27
bagus tidak ada kendala,5,2026-06-27 16:54:23
emang taik ini apk. saldo ilang 100k aktivasi dana cicil gagal dan ngga bisa aktivasi ulang. apk ngga jelas mending pakai seabank aja aman.,1,2026-06-27 16:50:47
kenapa saya tidak ada dana cicil,5,2026-06-27 16:49:02
mantap,5,2026-06-27 16:47:52
ok,5,2026-06-27 16:45:45
kenapa setelah update malah ada bug min,4,2026-06-27 16:42:13
jelek,4,2026-06-27 16:41:42
"saya kemarin kena tipu 600 ribu, kejadian malam jam 6 lewat berapa gitu tiba tiba ke transfer sendiri ke dana orang lain, padahal saya ngga pernah transfer ke siapapun tapi pihak dana ngga ada pertanggung jawabannya gila padahal saya butuh banget buat jajan anak anak sya ,. ya allah jahat bnget itu manusia.",1,2026-06-27 16:39:49
iiiii looveeee uuuu,5,2026-06-27 16:38:01
setelah update kemarin ga bisa di pake di hp saya gimana siii,1,2026-06-27 16:35:55
sangat mantap aplikasinya dan sangat praktis..,5,2026-06-27 16:33:20
LELET ANJENG,1,2026-06-27 16:32:37
Mantul....pokoknya,5,2026-06-27 16:31:34
aplikasi dana tidak aman saldo sering terpotong ke tiktok coin recharge saya korban udah 2 kali terpotong dan saldo tidak pernah di kembalikan ini saya merugikan orang,1,2026-06-27 16:30:02
menonton drama pendek berhadiah,5,2026-06-27 16:29:38
dana cicil ngak bisa dipake,1,2026-06-27 16:28:57
apk jos mantap lancar,5,2026-06-27 16:28:28
mohon bantuan nya dana saya tidak bisa masuk. no saya sudah hilang,5,2026-06-27 16:28:25
bagus,5,2026-06-27 16:28:02
kenapa saldo pembayaran saya tidak dikembalikan laginke saldo setelah proses sukses tapi ke pembayaran tagihan payleter tidak diproses sedangkan saldonya sudab terpotong,1,2026-06-27 16:28:00
baik,5,2026-06-27 16:27:57
kenapa limit dana cicil saya tidak bisa digunakan lagi padahal saya selalu bayar sebelum jatuh tempo,3,2026-06-27 16:26:12
punya saya tidak keluar fitur dana cicil kk mohon bantuannya,5,2026-06-27 16:25:50
saya ingin dana beta,5,2026-06-27 16:25:44
"udah gak enak, sekarang kena biaya",1,2026-06-27 16:25:15
masa ga bisa buat transaksi buat beli koin gift tiktok,1,2026-06-27 16:20:34
ok,5,2026-06-27 16:18:34
kurang memuaskan GK bertanggung jawab hilang nyah uang,1,2026-06-27 16:17:39
terimakasih dana memudakan,5,2026-06-27 16:16:26
bagus,5,2026-06-27 16:15:13
bagus bgt,5,2026-06-27 16:11:59
buat apa di kasih dana cicil tapi tidak berlaku.,3,2026-06-27 16:10:55
nice,5,2026-06-27 16:10:01
yah,5,2026-06-27 16:09:59
Sangat berguna,5,2026-06-27 16:09:42
bagus,5,2026-06-27 16:04:45
"halo dana kenapa error banget ya akhir² ini? saya internet ada banyak dan gunakan untuk apk lain lancar² saja tapi kenapa transaksi di dana selalu ada ""koneksi internetmu terputus nih"" tolong diperbaiki!!!!!!!!!!!!!",1,2026-06-27 16:03:10
Bagus sekali sangat membantu disaat tanggal tua,5,2026-06-27 15:58:21
dana sangat membantu,5,2026-06-27 15:55:03
"simple dan aman menggunakannya, semoga terus ditingkatkan aplikasinya...👍",5,2026-06-27 15:55:01
pokoknya aman nyaman,5,2026-06-27 15:54:47
sangat bagus,5,2026-06-27 15:51:11
"sangat tidak wor it ,, transaksi sudah besar namun tidak ada fitur pinjaman satupun yang tersedia 🤬",1,2026-06-27 15:50:43
saya kasih bintang 1 dulu karena dana cicil nya gak ada padahal ampir tiap hari transaksi pakai dana,1,2026-06-27 15:50:18
baik sekali,5,2026-06-27 15:48:17
aplikasi paling Tolol. dari pada aplikasi2 dompet lainnya. lupa pin verifikasi wajah selalu gagal. katanya wajah si pemilik akun.,1,2026-06-27 15:46:15
👍,5,2026-06-27 15:45:49
hp saya hilang tapi saya masuk pakai otp sedangkan nomer hp sudah gk ada gimana caranya masuk akun dana yg lama,2,2026-06-27 15:43:48
mantap,5,2026-06-27 15:42:09
ok bagus,5,2026-06-27 15:41:52
"Komplain tpi tidak ada solusinya,,yg ada uang raib tnpa jln kluar....yg jawab robot bkn CS asli...",1,2026-06-27 15:37:20
sangat bagus,5,2026-06-27 15:34:31
bagus Aplikasinya,5,2026-06-27 15:32:01
di akun saya belum ada fitur dana cicil,4,2026-06-27 15:30:02
ok,1,2026-06-27 15:27:41
apk tidak berguna uang saya tiba² hilang,1,2026-06-27 15:24:48
knp fitur dana instant blm ada min,3,2026-06-27 15:24:23
kenapa akun saya tidak ada versi beta,3,2026-06-27 15:22:28
"aplikasi Dana ini tanggung jawab,ternyata uang sy simpan tidak hilang di ,'Dana' ada notice untuk melindungi aplikasi agar tdk mencuri email data2 kita, sy kembali lg pake Dana ini terpercaya,sy tdk kecewa, moga aja kedepan nya tdk ada yg ngambil data2 kita.",5,2026-06-27 15:11:55
drama nya sangat menghibur,5,2026-06-27 15:11:45
lumayan berguna nih aplikasi,4,2026-06-27 15:11:20
kenapa verifikasi mukanya gagal terus yaa ?,5,2026-06-27 15:10:30
gampang diguanakan,5,2026-06-27 15:09:20
good job menggunakan dana,5,2026-06-27 15:08:58
sru dan brmanfaat,3,2026-06-27 15:07:39
Customernya nggak jelas,1,2026-06-27 15:03:58
"aplikasi dana Bagus, AQ puas dengan pelayanannya, terimakasih 🙏🥰",4,2026-06-27 15:02:16
bagus,5,2026-06-27 15:01:25
Ok,5,2026-06-27 15:01:10
semoga transaksinya selalu lancar,4,2026-06-27 15:01:09
